Id;splMass;StdC23;Gonadwt;Idweight;splDate;C14.0iso;C14:0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C17.0iso;C17.0anteiso;C17.0;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w11;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.3w6;C20.4w3;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
GO_M09GL12;28.9;40;21.4;112.41;16/03/20;NA;4.5;3.8;NA;2.2;2.9;27.8;9.3;4.4;NA;11.3;56.9;9.6;61.9;4.5;10.1;2.6;NA;22.9;17.6;12.9;10.7;16.6;8.7;103.6;2.4;NA;144.6;8.6;4.1;9;25.8;28.9;7.9;13.1;19.5
GO_M09GL13;28.9;40;9.5;113.85;22/05/20;2.6;14.4;9.6;3;3.9;6.4;37.8;20.1;5.6;NA;10.6;53.9;11.8;48.7;5.6;9.9;3.8;4.2;20.5;16.3;13.6;8.8;12.5;7.7;83.9;2.5;2.2;128.9;7.2;4.2;7.5;28.4;3.8;8;20.5;12.6
GO_M10GL18;31.9;40;18.71;134.02;11/01/21;2;7;6.4;2.9;3.6;6.4;44.3;13.7;6.3;2.9;14.1;68.4;16.3;66.8;4.9;15;3.8;3.2;31.7;27.4;21.2;13.3;19.7;14.2;134.9;3.8;NA;219.9;10.2;6.1;10.7;31.6;5;14.3;24.5;19.1
GO_F01GL22;28.3;40;8.27;132.07;28/05/21;NA;126.2;67;25.2;22.9;41.9;182;250.9;29.1;11.9;22.7;122.1;58.4;118.7;24.3;19.9;18.8;75.4;35.3;36.1;25.2;16.2;24.1;16.3;155.7;5.7;12.5;335.7;45.1;14.8;19.7;32.5;26;19.5;92.6;38.9
GO_F02GL17;25.3;40;39.19;150.85;28/09/20;23.6;97.4;67;22;22.7;34.2;152.1;168.8;35.2;11.5;27.3;144.7;58.1;129;19.4;27.7;22.1;37.7;42.4;51.6;37.5;13.8;26.7;20.1;143.3;16.1;15.2;272.1;62.9;22.3;32.2;49;46.1;32.8;97.6;67.2
GO_F02GL23;30.7;40;28.99;129.87;16/07/21;26.7;97.7;85.3;28.1;31.8;54.9;189.8;156.9;44.3;15.6;26.6;97.4;69.9;154;29;20.4;31.2;34.4;35.5;41.6;36.5;16.1;26.4;20.8;180.8;7.2;8.8;196.7;63.6;18.7;26.7;35.8;36.3;13.9;45.1;36.5
GO_F03GL18;27;40;5.91;140.62;11/01/21;13.1;59.9;45.8;20.3;20.7;24.2;139.1;92.5;26.1;10;20;62.8;56.8;80.5;18.5;13.5;17.6;21.4;30.8;33.9;26.5;8;15.2;15.1;136.6;5.8;4.9;156.6;28.6;11.5;18.2;37.3;35.7;11.8;42.3;26.5
GO_F04GL21;28.1;40;2.96;122.4;01/04/21;7.1;36.5;26.9;12.8;9.2;20.2;65.6;81.8;14;6.5;12.4;54;30.6;52.3;11.9;11.7;9.3;20.5;22.4;25;22.4;7.4;13.9;13;103.4;3.7;5.4;148.6;30.1;8.5;11.4;31.6;30.1;11.7;33.2;22.7
GO_F04GL22;24.5;40;5.99;99.43;28/05/21;12.8;95;45.3;16.6;16.6;29;144.5;300;19.7;7.8;16.8;106.9;57.8;104.7;29.1;14.9;16.2;79.6;28.6;29.6;32.3;14.2;22.6;14.2;139;5.1;13.4;367.1;39.3;14.8;15.6;34;26.4;15.5;52.5;33.4
GO_F05GL17;29.6;40;28.21;108.41;28/09/20;28.2;118;76.9;29.6;25.7;40.4;153.4;172.7;37.3;13.5;25.1;126.3;65.4;136.4;17.6;25.5;21.9;37.4;46.4;44.9;40.3;14.4;22.9;18.2;146.7;7.5;10.4;261.5;46.8;17.5;27.4;36.8;43.5;24.5;55.6;57.3
